Phase,Label,Category,H1,H2,H3,H4
REN,R_BA25_to_L_BA25,Intra-vmPFC,6.62 (0.703),1.05 (0.112),0.11 (0.012),0.64 (0.067)
REN,R_BA25_to_L_BA32,Intra-vmPFC,12.85 (0.551),5.72 (0.245),1.11 (0.048),2.64 (0.113)
REN,R_BA25_to_R_BA32,Intra-vmPFC,12.62 (0.72),1.56 (0.089),0.28 (0.016),2.06 (0.118)
REN,R_BA32_to_L_Amygdala,vmPFC-Amygdala,17.09 (0.549),5.76 (0.185),1.7 (0.055),5.6 (0.18)
REN,R_BA32_to_L_BA25,Intra-vmPFC,12.26 (0.538),5.79 (0.254),1.14 (0.05),2.6 (0.114)
REN,R_BA32_to_L_BA32,Intra-vmPFC,13.71 (0.474),5.33 (0.184),2.13 (0.074),6.78 (0.234)
REN,R_BA32_to_R_Amygdala,vmPFC-Amygdala,10.28 (0.608),3.6 (0.213),0.53 (0.032),1.5 (0.089)
REN,R_BA32_to_R_BA25,Intra-vmPFC,5.9 (0.641),1.51 (0.164),0.18 (0.02),0.62 (0.067)
REN,SCR,Physiology,15.22 (NaN),2.79 (NaN),NaN (NaN),2.92 (NaN)
REN,US-Expectancy,Self-report,0.09 (0.007),0.39 (0.029),4.33 (0.326),7.45 (0.562)
