pID,CS_Type,Connection 1,Connection 2,Connection 3,Connection 4,Connection 5,Connection 6,Connection 7,Connection 8,Connection 9,Connection 10,Connection 11,Connection 12,Connection 13,Connection 14,Connection 15,Connection 16,Connection 17,Connection 18,Connection 19,Connection 20,Connection 21,Connection 22,Connection 23,Connection 24,Connection 25,Connection 26,Connection 27,Connection 28,Connection 29,Connection 30
15,CSpACQ,0.727276968,-0.03025247183,-0.2249645257,0.7219718651,0.7796390534,0.3464648698,-0.07892066229,-0.3844485275,0.3685847551,0.594195198,-0.1423821542,-0.4562763487,-0.125353392,-0.616329093,-0.8813847258,-0.7111475849,-1.858314083,-0.1401675148,-2.279501593,-2.199563274,-0.01032217649,-0.01110673304,-0.06448385359,-0.1813420037,0.3019994436,0.3720450357,0.5343048479,-0.1238998498,-0.3926374931,1.291775297
16,CSpACQ,0.3756887144,0.0428907553,0.1213058964,0.2258974546,0.4151707769,0.8099039513,0.2554368766,0.3647335653,0.4770204609,0.4301118443,0.7650281642,2.501445246,1.113959572,0.8567592699,0.09013106564,0.9050186615,1.269002328,0.3949893705,0.8877490533,0.2429632907,0.2157975134,0.1998909237,0.04388777229,0.101166059,0.5743449414,0.5242503128,0.2648212738,0.0145634246,0.03506957541,0.8010366302
17,CSpACQ,1.087255174,-0.1256461145,-0.102435995,-0.08462203641,-0.1423045837,0.3710317208,0.01257238009,-0.009061974971,0.2902014107,0.3409558388,-2.118535537,0.6095642408,1.115386913,1.160945667,1.445451569,-0.8222774942,-0.199496097,0.5673041428,0.1050502235,-0.01296046625,-0.04068330284,0.6649001081,0.05353913007,0.01143399389,0.9798216953,-0.08854226598,0.4913893164,0.04276491882,-0.01372690605,0.4632459557
18,CSpACQ,0.8145713067,0.08043511799,-0.09561921209,0.6475106815,0.5854971702,0.998266823,0.06873292992,-0.04714854038,0.8641901067,0.7817497534,1.20554218,0.7689569839,-0.2849411319,0.5716628294,0.1917986152,-0.5689558143,-0.2361925345,-0.1588599696,0.2444449588,0.4873199024,0.4787489477,0.534828324,0.02306955348,0.02918959221,1.012657101,0.364789831,0.4167732313,0.001521283945,0.04896240289,0.838349158
19,CSpACQ,-0.799800372,-0.05576573571,-0.09572791069,1.072753311,-0.1211327579,-0.4325863019,0.1169201298,0.1732106199,-0.2496327197,-0.2125747474,-0.617098648,2.50758463,0.660660449,0.1810320789,0.618527976,-0.5704070189,1.985757413,0.339090855,-1.69236843,-1.185804111,0.3628747602,-0.1803152134,-0.0006715947161,-0.1065432774,0.577912448,-0.02821852387,-0.08166352545,0.005209620974,-0.0426229074,0.3639049105
20,CSpACQ,0.228773577,-0.2084973767,-0.3489638573,-0.05049500682,0.3345258129,0.4029463954,0.06370338014,-0.1728632941,-0.2698895605,1.337624452,-1.475327251,0.3011614618,0.1837962988,-1.070691577,-2.027520739,-2.369512418,-0.7654330497,0.1819983722,0.6937333985,-2.745722194,-0.02255502247,-0.04931525998,-0.0500130109,0.01950676957,-0.2043925716,0.08958637689,0.178974303,-0.06327122548,-0.08549313118,0.1286417196
21,CSpACQ,-0.4948729543,0.1487023326,-0.03278012443,0.4104099011,0.3994914713,-0.4184780414,-0.09145606522,0.1063848199,0.1641759582,0.1264280811,1.792312397,-1.288553704,0.5634343523,-0.1801131056,-0.970909825,-0.2575217621,1.018171439,0.3919823725,-1.403332606,-2.92608309,0.2588101991,0.1138351744,-0.01274967633,-0.1291090264,0.8737824315,0.1829064985,0.0713420776,-0.03704044316,-0.1752702572,0.6632791009
22,CSpACQ,0.950346407,-0.09002705075,-0.03738869927,0.3403873545,0.3691330113,0.4254732169,0.108864356,0.01365500914,0.191280257,-0.2181066895,-0.6830889939,1.57813656,0.6042006036,0.8686606084,1.184963672,-0.1054911605,0.04377219217,0.1070988307,0.6910504815,0.4795250251,0.07418612852,0.09257452159,0.0414886709,0.1603484437,0.4862706124,0.06146347698,-0.1129087497,0.033890905,0.0944689351,0.4414012116
23,CSpACQ,0.3689802151,-0.01961749539,-0.05205481943,0.450462885,0.6117197186,0.173452846,0.02126097339,0.04643576804,0.2073882997,0.3092390624,-0.04567969524,0.1561267983,0.7015691229,0.9872249948,0.01211193853,-0.115106687,0.1669799751,0.361601689,1.118733607,1.436013082,0.1957057484,0.171880467,0.1172243047,0.2539975589,0.7584795516,0.1500749735,0.1492727146,0.005751945494,0.1812251913,0.4155037216
24,CSpACQ,0.1600353147,-0.02298764459,-0.08377037583,-0.5892982264,-0.4929661604,0.1932477889,0.1003411098,0.1152177357,0.5826849911,0.4086103024,-0.2202389575,0.9463125376,0.4187513277,1.535610518,0.5758753218,-0.7893146629,0.9865594963,0.3835440044,1.985662417,1.942484416,-0.4393734584,0.4661560122,0.1258550927,0.1782691253,0.945789283,-0.1958523285,0.1860725495,0.02576173687,0.09593929672,0.5335833359
